거래소코드,label,pred,proba1,회사명,회계년도
000040,0.0,0,0.024333624,케이알모터스(주),2012/12
000050,1.0,1,0.92150545,(주)경방,2012/12
000070,1.0,1,0.96499544,(주)삼양홀딩스,2013/12
000150,1.0,1,0.9679299,(주)두산,2015/12
000180,0.0,0,0.07451178,성창기업지주(주),2012/12
000210,0.0,0,0.074240744,디엘(주),2013/12
000230,0.0,0,0.03502509,일동홀딩스(주),2016/12
000300,1.0,1,0.90730155,(주)대유플러스,2012/12
000360,0.0,0,0.012409343,삼환기업(주),2012/12
000420,0.0,0,0.011793348,(주)로케트전기,2012/12
000480,1.0,1,0.9561733,(주)시알홀딩스,2017/12
000490,1.0,1,0.977975,(주)대동,2012/12
000520,0.0,0,0.024024656,삼일제약(주),2012/12
000650,1.0,1,0.9458442,(주)천일고속,2012/12
000660,1.0,1,0.9431768,에스케이하이닉스(주),2012/12
000670,0.0,0,0.08370461,(주)영풍,2014/12
000680,0.0,0,0.010123991,(주)엘에스네트웍스,2012/12
000700,0.0,0,0.007931418,(주)유수홀딩스,2012/12
000760,0.0,0,0.0022048727,이화산업(주),2018/12
000800,0.0,0,0.1285896,경남기업(주),2012/12
000860,1.0,1,0.9500516,강남제비스코(주),2019/12
000890,0.0,0,0.026499538,보해양조(주),2016/12
000910,0.0,0,0.006360719,(주)유니온,2017/12
000950,0.0,0,0.017907547,전방(주),2012/12
000990,0.0,0,0.02620242,(주)DB하이텍,2012/12
001000,1.0,1,0.874292,신라섬유(주),2015/12
001020,0.0,0,0.03223212,페이퍼코리아(주),2013/12
001060,1.0,1,0.92024225,제이더블유중외제약(주),2012/12
001070,0.0,0,0.029924527,대한방직(주),2012/12
001140,0.0,0,0.07689224,(주)국보,2012/12
001210,0.0,0,0.047936063,금호전기(주),2012/12
001230,0.0,0,0.012396236,동국홀딩스(주),2012/12
001260,0.0,0,0.035167832,남광토건(주),2012/12
001340,0.0,0,0.027829628,백광산업(주),2013/12
001360,0.0,0,0.020658584,삼성제약(주),2012/12
001380,1.0,1,0.984361,(주)에스지글로벌,2012/12
001440,0.0,0,0.026866762,대한전선(주),2012/12
001470,0.0,0,0.036447342,삼부토건(주),2012/12
001520,0.0,0,0.04390444,(주)동양,2012/12
001530,1.0,1,0.9704662,디아이동일(주),2012/12
001550,1.0,1,0.87456846,(주)조비,2012/12
001620,1.0,1,0.9224424,케이비아이동국실업(주),2014/12
001770,1.0,1,0.96609795,(주)신화다이나믹스,2013/12
001780,1.0,1,0.9239418,(주)알루코,2012/12
001810,1.0,1,0.9648576,무림에스피(주),2019/12
001820,1.0,1,0.98552793,삼화콘덴서공업(주),2014/12
001840,1.0,1,0.94418055,이화공영(주),2018/12
002000,0.0,0,0.07020473,한국유리공업(주),2012/12
002020,0.0,0,0.047460437,(주)코오롱,2012/12
002070,0.0,0,0.048823997,(주)비비안,2012/12
002200,1.0,1,0.84388256,한국수출포장공업(주),2017/12
002210,0.0,0,0.01232239,동성제약(주),2013/12
