거래소코드,label,pred,proba1,회사명,회계년도
000040,0.0,0.0,0.3319255856709255,케이알모터스(주),2012/12
000050,1.0,0.0,0.2505327603260465,(주)경방,2012/12
000070,1.0,0.0,0.4297188063285614,(주)삼양홀딩스,2013/12
000150,1.0,1.0,0.7611290913714157,(주)두산,2015/12
000180,0.0,0.0,0.46001863333550846,성창기업지주(주),2012/12
000210,0.0,1.0,0.650747801936594,디엘(주),2013/12
000230,0.0,0.0,0.39640706321175895,일동홀딩스(주),2016/12
000300,1.0,0.0,0.25899414981838426,(주)대유플러스,2012/12
000360,0.0,0.0,0.09098844189561357,삼환기업(주),2012/12
000420,0.0,0.0,0.10362388150798456,(주)로케트전기,2012/12
000480,1.0,0.0,0.3828341415810523,(주)시알홀딩스,2017/12
000490,1.0,0.0,0.4010291808325992,(주)대동,2012/12
000520,0.0,0.0,0.395967338274988,삼일제약(주),2012/12
000650,1.0,0.0,0.42054581987095446,(주)천일고속,2012/12
000660,1.0,0.0,0.35839018733677014,에스케이하이닉스(주),2012/12
000670,0.0,0.0,0.346895819566366,(주)영풍,2014/12
000680,0.0,0.0,0.31735409661714487,(주)엘에스네트웍스,2012/12
000700,0.0,0.0,0.03281734851895012,(주)유수홀딩스,2012/12
000760,0.0,0.0,0.2668426160132331,이화산업(주),2018/12
000800,0.0,0.0,0.3722482250084855,경남기업(주),2012/12
000860,1.0,0.0,0.3473692290109471,강남제비스코(주),2019/12
000890,0.0,0.0,0.2669014485080887,보해양조(주),2016/12
000910,0.0,0.0,0.3350178491104056,(주)유니온,2017/12
000950,0.0,0.0,0.17922719013622493,전방(주),2012/12
000990,0.0,0.0,0.206699876045932,(주)DB하이텍,2012/12
001000,1.0,0.0,0.1441902959424617,신라섬유(주),2015/12
001020,0.0,0.0,0.2798541949809761,페이퍼코리아(주),2013/12
001060,1.0,0.0,0.34979248297563487,제이더블유중외제약(주),2012/12
001070,0.0,0.0,0.2752213462085761,대한방직(주),2012/12
