거래소코드,회사명,회계년도,label,pred,proba1
000040,케이알모터스(주),2012/12,0.0,0,0.034161974
000050,(주)경방,2012/12,1.0,1,0.952081
000070,(주)삼양홀딩스,2013/12,1.0,1,0.9906427
000150,(주)두산,2015/12,1.0,1,0.93237835
000180,성창기업지주(주),2012/12,0.0,0,0.055299927
000210,디엘(주),2013/12,0.0,0,0.04119721
000220,(주)유유제약,2021/12,0.0,1,0.92742354
000230,일동홀딩스(주),2016/12,0.0,0,0.062499553
000250,삼천당제약(주),2021/12,1.0,0,0.35197243
000300,(주)대유플러스,2012/12,1.0,1,0.8795408
000360,삼환기업(주),2012/12,0.0,0,0.013110796
000390,삼화페인트공업(주),2021/12,1.0,1,0.9871451
000420,(주)로케트전기,2012/12,0.0,0,0.009542863
000430,대원강업(주),2020/12,0.0,0,0.22493522
000440,(주)중앙에너비스,2020/12,0.0,1,0.7196861
000480,(주)시알홀딩스,2017/12,1.0,1,0.9864763
000490,(주)대동,2012/12,1.0,1,0.99204785
000520,삼일제약(주),2012/12,0.0,0,0.06647084
000650,(주)천일고속,2012/12,1.0,1,0.9314462
000660,에스케이하이닉스(주),2012/12,1.0,1,0.94790035
000670,(주)영풍,2014/12,0.0,0,0.046366565
000680,(주)엘에스네트웍스,2012/12,0.0,0,0.0042152596
000700,(주)유수홀딩스,2012/12,0.0,0,0.0021264064
000760,이화산업(주),2018/12,0.0,0,0.003039453
000800,경남기업(주),2012/12,0.0,0,0.10682194
000860,강남제비스코(주),2019/12,1.0,1,0.98229516
000890,보해양조(주),2016/12,0.0,0,0.0062118247
000910,(주)유니온,2017/12,0.0,0,0.005004471
000950,전방(주),2012/12,0.0,0,0.010756518
000990,(주)DB하이텍,2012/12,0.0,0,0.032978266
001000,신라섬유(주),2015/12,1.0,1,0.9368646
001020,페이퍼코리아(주),2013/12,0.0,0,0.07523371
001060,제이더블유중외제약(주),2012/12,1.0,1,0.9258294
001070,대한방직(주),2012/12,0.0,0,0.034493838
001140,(주)국보,2012/12,0.0,0,0.07796991
001210,금호전기(주),2012/12,0.0,0,0.040091366
001230,동국홀딩스(주),2012/12,0.0,0,0.013659771
001260,남광토건(주),2012/12,0.0,0,0.037994906
001340,백광산업(주),2013/12,0.0,0,0.008076969
001360,삼성제약(주),2012/12,0.0,0,0.066712
001380,(주)에스지글로벌,2012/12,1.0,1,0.9577576
001420,태원물산(주),2020/12,0.0,1,0.6866784
001430,(주)세아베스틸지주,2020/12,1.0,0,0.48781386
001440,대한전선(주),2012/12,0.0,0,0.041947175
001470,삼부토건(주),2012/12,0.0,0,0.018119574
001520,(주)동양,2012/12,0.0,0,0.04720308
001530,디아이동일(주),2012/12,1.0,1,0.9872662
001540,안국약품(주),2020/12,0.0,0,0.48215607
001550,(주)조비,2012/12,1.0,1,0.93948597
001620,케이비아이동국실업(주),2014/12,1.0,1,0.9765944
001770,(주)신화다이나믹스,2013/12,1.0,1,0.941709
001780,(주)알루코,2012/12,1.0,1,0.93328923
001810,무림에스피(주),2019/12,1.0,1,0.9469422
