거래소코드,회사명,회계년도,label,pred,proba1
000040,케이알모터스(주),2012/12,0.0,0.0,0.12
000050,(주)경방,2012/12,1.0,1.0,0.77
000070,(주)삼양홀딩스,2013/12,1.0,1.0,0.98
000150,(주)두산,2015/12,1.0,1.0,0.76
000180,성창기업지주(주),2012/12,0.0,0.0,0.27
000210,디엘(주),2013/12,0.0,0.0,0.15
000220,(주)유유제약,2021/12,0.0,1.0,0.54
000230,일동홀딩스(주),2016/12,0.0,0.0,0.15
000250,삼천당제약(주),2021/12,1.0,0.0,0.47
000300,(주)대유플러스,2012/12,1.0,1.0,0.73
000360,삼환기업(주),2012/12,0.0,0.0,0.04
000390,삼화페인트공업(주),2021/12,1.0,1.0,0.78
000420,(주)로케트전기,2012/12,0.0,0.0,0.02
000430,대원강업(주),2020/12,0.0,1.0,0.73
000440,(주)중앙에너비스,2020/12,0.0,1.0,0.57
000480,(주)시알홀딩스,2017/12,1.0,1.0,0.96
000490,(주)대동,2012/12,1.0,1.0,0.87
000520,삼일제약(주),2012/12,0.0,0.0,0.21
000650,(주)천일고속,2012/12,1.0,1.0,0.75
000660,에스케이하이닉스(주),2012/12,1.0,1.0,0.78
000670,(주)영풍,2014/12,0.0,0.0,0.19
000680,(주)엘에스네트웍스,2012/12,0.0,0.0,0.16
000700,(주)유수홀딩스,2012/12,0.0,0.0,0.05
000760,이화산업(주),2018/12,0.0,0.0,0.04
000800,경남기업(주),2012/12,0.0,0.0,0.22
000860,강남제비스코(주),2019/12,1.0,1.0,0.97
000890,보해양조(주),2016/12,0.0,0.0,0.05
000910,(주)유니온,2017/12,0.0,0.0,0.11
000950,전방(주),2012/12,0.0,0.0,0.12
000990,(주)DB하이텍,2012/12,0.0,0.0,0.03
001000,신라섬유(주),2015/12,1.0,1.0,0.68
001020,페이퍼코리아(주),2013/12,0.0,0.0,0.15
001060,제이더블유중외제약(주),2012/12,1.0,1.0,0.74
001070,대한방직(주),2012/12,0.0,0.0,0.21
001140,(주)국보,2012/12,0.0,0.0,0.18
001210,금호전기(주),2012/12,0.0,0.0,0.15
001230,동국홀딩스(주),2012/12,0.0,0.0,0.17
001260,남광토건(주),2012/12,0.0,0.0,0.15
001340,백광산업(주),2013/12,0.0,0.0,0.07
001360,삼성제약(주),2012/12,0.0,0.0,0.23
001380,(주)에스지글로벌,2012/12,1.0,1.0,0.8
001420,태원물산(주),2020/12,0.0,1.0,0.51
001430,(주)세아베스틸지주,2020/12,1.0,1.0,0.57
001440,대한전선(주),2012/12,0.0,0.0,0.08
001470,삼부토건(주),2012/12,0.0,0.0,0.11
001520,(주)동양,2012/12,0.0,0.0,0.18
001530,디아이동일(주),2012/12,1.0,1.0,0.93
001540,안국약품(주),2020/12,0.0,1.0,0.69
001550,(주)조비,2012/12,1.0,1.0,0.87
001620,케이비아이동국실업(주),2014/12,1.0,1.0,0.96
001770,(주)신화다이나믹스,2013/12,1.0,1.0,0.86
001780,(주)알루코,2012/12,1.0,1.0,0.79
001810,무림에스피(주),2019/12,1.0,1.0,0.91
001820,삼화콘덴서공업(주),2014/12,1.0,1.0,0.84
001840,이화공영(주),2018/12,1.0,1.0,0.93
002000,한국유리공업(주),2012/12,0.0,0.0,0.18
002020,(주)코오롱,2012/12,0.0,0.0,0.28
002070,(주)비비안,2012/12,0.0,0.0,0.22
