날짜,year,sum,수익률
2013-04-01,2012,953992,0.0
2013-04-02,2012,944954,-0.009473873994750526
2013-04-03,2012,954216,0.009801535312830012
2013-04-04,2012,953188,-0.0010773242117089188
2013-04-05,2012,951270,-0.002012194866070516
2013-04-08,2012,929522,-0.02286206860302542
2013-04-09,2012,927926,-0.0017170115392642904
2013-04-10,2012,938762,0.011677655330274206
2013-04-11,2012,948812,0.010705588849996062
2013-04-12,2012,939170,-0.010162181759927114
2013-04-15,2012,944851,0.006048958122597536
2013-04-16,2012,951644,0.007189493369853972
2013-04-17,2012,946169,-0.005753201827574217
2013-04-18,2012,945447,-0.0007630772092511728
2013-04-19,2012,937051,-0.00888045548825056
2013-04-22,2012,947337,0.010976990580021884
2013-04-23,2012,955661,0.00878673587118417
2013-04-24,2012,969468,0.014447591771559187
2013-04-25,2012,972849,0.0034874797311514882
2013-04-26,2012,981153,0.008535754264022533
2013-04-29,2012,979877,-0.0013005107256462978
2013-04-30,2012,975296,-0.0046750765657321836
2013-05-02,2012,966522,-0.008996243191810471
2013-05-03,2012,978258,0.012142506844127654
2013-05-06,2012,982513,0.004349568314289343
2013-05-07,2012,991066,0.008705228327767767
2013-05-08,2012,997172,0.006161042755981949
2013-05-09,2012,1004013,0.006860401214634937
2013-05-10,2012,992606,-0.011361406675013175
2013-05-13,2012,990809,-0.0018103859940399314
2013-05-14,2012,992097,0.0012999478204174242
2013-05-15,2012,1004644,0.012646948836656069
2013-05-16,2012,1007368,0.0027114082202253087
2013-05-20,2012,1000534,-0.006784015374719066
2013-05-21,2012,1003261,0.002725544559205373
2013-05-22,2012,1011850,0.008561082310585277
2013-05-23,2012,1007851,-0.0039521668231456974
2013-05-24,2012,1012576,0.004688192996782359
2013-05-27,2012,1020890,0.008210741712227021
2013-05-28,2012,1040871,0.019572138036419107
2013-05-29,2012,1047760,0.0066184954715811095
2013-05-30,2012,1046244,-0.0014468962357792048
2013-05-31,2012,1044722,-0.0014547275778881152
2013-06-03,2012,1038000,-0.006434247579738872
2013-06-04,2012,1030576,-0.00715221579961467
2013-06-05,2012,1012857,-0.01719329772864886
2013-06-07,2012,997631,-0.015032724264136044
2013-06-10,2012,1001869,0.00424806366281727
2013-06-11,2012,990041,-0.011805934708030708
2013-06-12,2012,986846,-0.003227139078078589
2013-06-13,2012,975157,-0.011844806585829981
2013-06-14,2012,968622,-0.006701484991647466
2013-06-17,2012,951694,-0.017476373652467125
2013-06-18,2012,964678,0.013643040725275224
2013-06-19,2012,954307,-0.01075073755180489
2013-06-20,2012,930704,-0.024733130952617977
2013-06-21,2012,922530,-0.008782598978837486
2013-06-24,2012,903070,-0.021094164959405082
2013-06-25,2012,862892,-0.04449046031869064
2013-06-26,2012,880107,0.019950352998984844
2013-06-27,2012,916179,0.040985925574958504
2013-06-28,2012,928768,0.013740764632238944
2013-07-01,2012,933096,0.0046599366041897294
2013-07-02,2012,927488,-0.006010099711069361
2013-07-03,2012,910401,-0.018422879864752995
2013-07-04,2012,919852,0.010381139739521483
2013-07-05,2012,922969,0.003388588599035458
2013-07-08,2012,914450,-0.009229995807009783
2013-07-09,2012,922656,0.008973700038274357
2013-07-10,2012,912151,-0.011385608504144606
2013-07-11,2012,931706,0.02143833641579085
2013-07-12,2012,940054,0.008959907953796531
2013-07-15,2012,949122,0.009646254364110929
2013-07-16,2012,953775,0.004902425610195493
2013-07-17,2012,959117,0.005600901680165693
2013-07-18,2012,956781,-0.0024355735535914746
2013-07-19,2012,954818,-0.0020516711765806717
2013-07-22,2012,962053,0.007577360292746915
2013-07-23,2012,967094,0.005239836058928082
2013-07-24,2012,975489,0.008680645314726343
2013-07-25,2012,972209,-0.0033624161830630994
2013-07-26,2012,969876,-0.0023996897786381366
2013-07-29,2012,959716,-0.010475565948636745
2013-07-30,2012,968187,0.008826569526818373
2013-07-31,2012,969530,0.0013871287261655318
2013-08-01,2012,970696,0.0012026445803636765
2013-08-02,2012,979098,0.00865564502171634
2013-08-05,2012,985735,0.006778688139491562
2013-08-06,2012,988311,0.002613278416613074
2013-08-07,2012,979812,-0.008599519786787746
2013-08-08,2012,979390,-0.00043069486799507395
2013-08-09,2012,977195,-0.0022411909453843304
2013-08-12,2012,972845,-0.0044515168415720785
2013-08-13,2012,974997,0.0022120687262616734
2013-08-14,2012,987801,0.013132348099532676
2013-08-16,2012,991088,0.003327593310798349
2013-08-19,2012,995396,0.004346738130216465
2013-08-20,2012,970441,-0.02507042423316952
2013-08-21,2012,955695,-0.01519515354359513
2013-08-22,2012,934276,-0.022411961975316363
2013-08-23,2012,951080,0.017986119733355066
2013-08-26,2012,960801,0.010221011902258548
2013-08-27,2012,949212,-0.012061810926508154
2013-08-28,2012,941061,-0.008587122792379387
2013-08-29,2012,946869,0.006171757197461103
2013-08-30,2012,941489,-0.005681884188837083
2013-09-02,2012,949638,0.008655438353501799
2013-09-03,2012,953984,0.004576480722127796
2013-09-04,2012,958403,0.004632153159801478
2013-09-05,2012,958841,0.000457010255602297
2013-09-06,2012,950693,-0.008497759273956795
2013-09-09,2012,953139,0.00257286000843604
2013-09-10,2012,961306,0.008568529878643094
2013-09-11,2012,966346,0.005242867515650618
2013-09-12,2012,966238,-0.00011176121182265852
2013-09-13,2012,963702,-0.0026246121555972834
2013-09-16,2012,958421,-0.005479909764636748
2013-09-17,2012,962382,0.004132839326350224
2013-09-23,2012,966092,0.003855018069747862
2013-09-24,2012,964892,-0.0012421177279182682
2013-09-25,2012,963689,-0.0012467716594188882
2013-09-26,2012,979358,0.01625939488776984
2013-09-27,2012,977897,-0.0014917936035647728
2013-09-30,2012,967312,-0.01082424836153506
2013-10-01,2012,959567,-0.008006723787154502
2013-10-02,2012,960344,0.0008097402265814235
2013-10-04,2012,959291,-0.001096482093916329
2013-10-07,2012,955090,-0.004379275944421446
2013-10-08,2012,955303,0.00022301563203463992
2013-10-10,2012,961312,0.006290150873597078
2013-10-11,2012,966776,0.005683898671815291
2013-10-14,2012,966306,-0.0004861519110942458
2013-10-15,2012,975063,0.009062346710048352
2013-10-16,2012,960899,-0.014526240868538709
2013-10-17,2012,960436,-0.0004818404431683465
2013-10-18,2012,966123,0.005921269090288117
2013-10-21,2012,967284,0.0012017103412298447
2013-10-22,2012,966477,-0.0008342947882937768
2013-10-23,2012,953921,-0.012991514541991211
2013-10-24,2012,966312,0.012989545255843948
2013-10-25,2012,958466,-0.00811953075197247
2013-10-28,2012,961106,0.0027544013037499315
2013-10-29,2012,961087,-1.976889125654413e-05
2013-10-30,2012,965509,0.0046010402804324
2013-10-31,2012,958363,-0.007401277460904021
2013-11-01,2012,960245,0.0019637652956134843
2013-11-04,2012,956586,-0.0038104858655864104
2013-11-05,2012,947666,-0.009324828086549442
2013-11-06,2012,948641,0.001028843495493037
2013-11-07,2012,938147,-0.011062140472528625
2013-11-08,2012,929392,-0.009332226186301251
2013-11-11,2012,910378,-0.020458536333430866
2013-11-12,2012,921956,0.012717794147046657
2013-11-13,2012,909710,-0.013282629539804525
2013-11-14,2012,912530,0.0030998889756075343
2013-11-15,2012,926659,0.015483326575564726
2013-11-18,2012,923097,-0.0038439166942748626
2013-11-19,2012,919196,-0.0042259914180199365
2013-11-20,2012,915424,-0.004103586177485519
2013-11-21,2012,911226,-0.004585853112874516
2013-11-22,2012,917149,0.006500034020100465
2013-11-25,2012,921229,0.004448568335134295
2013-11-26,2012,929465,0.008940230930637227
2013-11-27,2012,933036,0.0038419951262285146
2013-11-28,2012,944522,0.01231035029730898
2013-11-29,2012,953962,0.009994473395008363
2013-12-02,2012,946141,-0.008198439770137567
2013-12-03,2012,931314,-0.015671025777341807
2013-12-04,2012,926146,-0.005549148837019513
2013-12-05,2012,930535,0.0047389936359925056
2013-12-06,2012,935736,0.005589257792560254
2013-12-09,2012,934261,-0.0015762992980926649
2013-12-10,2012,931468,-0.002989528622087456
2013-12-11,2012,928821,-0.0028417508706686245
2013-12-12,2012,925681,-0.003380629852253514
2013-12-13,2012,927149,0.0015858594915527657
2013-12-16,2012,921145,-0.0064757660311342
2013-12-17,2012,919810,-0.0014492832290247115
2013-12-18,2012,918202,-0.0017481871256019854
2013-12-19,2012,916012,-0.002385096089967176
2013-12-20,2012,918224,0.0024148155264340776
