날짜,year,sum,수익률
2013-04-01,2012,921332,0.0
2013-04-02,2012,913435,-0.008571285920819016
2013-04-03,2012,923020,0.010493357491228261
2013-04-04,2012,922430,-0.0006392060843751768
2013-04-05,2012,920608,-0.0019752176316901737
2013-04-08,2012,899503,-0.02292506691230145
2013-04-09,2012,898599,-0.0010049994274615726
2013-04-10,2012,910115,0.012815505025044471
2013-04-11,2012,920482,0.011390868186987424
2013-04-12,2012,911080,-0.010214213857522525
2013-04-15,2012,916597,0.006055450673925433
2013-04-16,2012,924325,0.008431186224698628
2013-04-17,2012,922095,-0.0024125713358397194
2013-04-18,2012,922752,0.0007125079303109683
2013-04-19,2012,910234,-0.01356594187820781
2013-04-22,2012,920216,0.010966410835016038
2013-04-23,2012,929940,0.01056708424978492
2013-04-24,2012,943223,0.014283717229068627
2013-04-25,2012,946013,0.002957943137518848
2013-04-26,2012,955678,0.0102165615060259
2013-04-29,2012,954431,-0.001304832799332023
2013-04-30,2012,948771,-0.005930234872924323
2013-05-02,2012,940540,-0.008675433798039811
2013-05-03,2012,952847,0.013085036255767957
2013-05-06,2012,957106,0.004469762721612147
2013-05-07,2012,965197,0.008453609109126958
2013-05-08,2012,970902,0.005910710456000112
2013-05-09,2012,977327,0.006617557693773479
2013-05-10,2012,965572,-0.012027704135872619
2013-05-13,2012,963267,-0.002387186041020284
2013-05-14,2012,962969,-0.00030936386277113925
2013-05-15,2012,973232,0.010657663953876018
2013-05-16,2012,976080,0.002926332056488068
2013-05-20,2012,970284,-0.005938037865748758
2013-05-21,2012,972950,0.002747649141900732
2013-05-22,2012,982205,0.009512307929492758
2013-05-23,2012,978192,-0.004085705122657712
2013-05-24,2012,983942,0.005878191602466609
2013-05-27,2012,992805,0.00900764475954885
2013-05-28,2012,1012577,0.01991529051525731
2013-05-29,2012,1020246,0.007573745009021637
2013-05-30,2012,1019805,-0.0004322486929623226
2013-05-31,2012,1017481,-0.002278867038306376
2013-06-03,2012,1010365,-0.006993742389292734
2013-06-04,2012,1003315,-0.006977676384276932
2013-06-05,2012,986403,-0.01685612195571684
2013-06-07,2012,972018,-0.01458328898026462
2013-06-10,2012,976275,0.004379548526879162
2013-06-11,2012,964232,-0.012335663619369552
2013-06-12,2012,961579,-0.0027514125231271613
2013-06-13,2012,949808,-0.01224132390578414
2013-06-14,2012,943039,-0.007126703502181475
2013-06-17,2012,926813,-0.0172060752524551
2013-06-18,2012,940995,0.015301900167563387
2013-06-19,2012,931194,-0.010415570752235648
2013-06-20,2012,908331,-0.02455234891977398
2013-06-21,2012,899986,-0.009187179563397097
2013-06-24,2012,879941,-0.02227256868440175
2013-06-25,2012,839993,-0.04539849830840936
2013-06-26,2012,857639,0.0210073179181256
2013-06-27,2012,893618,0.04195121723708928
2013-06-28,2012,906597,0.014524103140268085
2013-07-01,2012,910275,0.004056929374352647
2013-07-02,2012,905163,-0.005615885309384505
2013-07-03,2012,887881,-0.01909269380211076
2013-07-04,2012,896736,0.009973183343263248
2013-07-05,2012,898015,0.0014262837669056783
2013-07-08,2012,889436,-0.009553292539656866
2013-07-09,2012,893895,0.005013289320423331
2013-07-10,2012,885695,-0.009173336913172125
2013-07-11,2012,905220,0.022044834847210426
2013-07-12,2012,913920,0.009610923311460295
2013-07-15,2012,923365,0.010334602591036468
2013-07-16,2012,932152,0.00951628012757677
2013-07-17,2012,937395,0.005624619160823574
2013-07-18,2012,935696,-0.0018124696632689785
2013-07-19,2012,934220,-0.0015774354063713414
2013-07-22,2012,942633,0.009005373466635325
2013-07-23,2012,947270,0.004919199730966328
2013-07-24,2012,955022,0.008183516843138783
2013-07-25,2012,952423,-0.002721403276573775
2013-07-26,2012,950375,-0.002150305064031466
2013-07-29,2012,939283,-0.011671182427988924
2013-07-30,2012,947844,0.00911439896176125
2013-07-31,2012,948974,0.001192179303767249
2013-08-01,2012,949983,0.0010632535770209728
2013-08-02,2012,958362,0.008820157834403375
2013-08-05,2012,965224,0.00716013364469803
2013-08-06,2012,967536,0.0023952989150703985
2013-08-07,2012,959470,-0.008336640703808462
2013-08-08,2012,958982,-0.0005086141307180103
